"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Aug 10 23:43:06 MSK 2022","Wed Aug 10 23:43:27 MSK 2022","21286","","","","","","Документ.toledo_ОтветНаЗапрос.Форма.ФормаСписка.Форма. Отсутствует обработчик","Отсутствует обработчик: Список ""СписокПриНачалеРедактирования"""
"failed","Thu Aug 11 04:05:16 MSK 2022","Thu Aug 11 04:05:38 MSK 2022","21286","","","","","","Обработка.toledo_СогласованиеЗакрытийЗапросов.Форма.Форма.Форма. Отсутствует обработчик","Отсутствует обработчик: ТоварыВариантСиноним.Расширение ""ТоварыВариантСинонимОбработкаВыбора"""
"failed","Thu Aug 11 04:32:57 MSK 2022","Thu Aug 11 04:33:18 MSK 2022","21286","","","","","","Обработка.СА_УправлениеСканАрхивом.Форма.ФормаУправляемая.Форма. 1686,3: Переменная не определена","Строка 1686,3: Переменная не определена (СА_ПрограммныеКомпоненты) #> <<?>>СА_ПрограммныеКомпоненты.Свойство(""КомпонентаПросмотраСканОбраза"", КомпонентаПросмотраСканОбраза); (Проверка: Толстый клиент (обычное приложение))"
"failed","Wed Aug 24 13:16:34 MSK 2022","Wed Aug 24 13:16:35 MSK 2022","1350","","","","","","С. этой информационной базой уже работает конфигуратор","этой информационной базой уже работает конфигуратор:"
"failed","Wed Aug 10 20:40:02 MSK 2022","Wed Aug 10 20:40:24 MSK 2022","21286","","","","","","ПланОбмена.Б_ОбменССайтом.Форма.УстановкаСоответствийПлатежныхСистем.Форма. 120,35: Переменная не определена","Строка 120,35: Переменная не определена (ТипУзлаXML) #> ИначеЕсли ЧтениеXML.ТипУзла = <<?>>ТипУзлаXML.НачалоЭлемента И ЧтениеXML.ЛокальноеИмя = ""Ид"" тогда (Проверка: Веб-клиент)"
"failed","Wed Aug 10 22:37:07 MSK 2022","Wed Aug 10 22:37:28 MSK 2022","21286","","","","","","Документ.CRM_Интерес.Форма.ФормаСписка.Форма. Не обнаружено ссылок на процедуру","Не обнаружено ссылок на процедуру: ""Открыть_КомандыБыстрогоДоступа"""
"failed","Wed Aug 10 20:43:14 MSK 2022","Wed Aug 10 20:43:35 MSK 2022","21286","","","","","","ПланОбмена.Б_ОбменССайтом.Форма.ФормаСписка.Форма. Пустой обработчик","Пустой обработчик: ""ПослеВводаСтроки"""
"failed","Wed Aug 10 20:52:06 MSK 2022","Wed Aug 10 20:52:27 MSK 2022","21286","","","","","","ОбщаяФорма.CRM_ПодборПользователейПоТипуУслуги.Форма. Не обнаружено ссылок на функцию","Не обнаружено ссылок на функцию: ""УПодразделенияЕстьВыбранныйТипУслуги"""
"failed","Thu Aug 11 00:23:32 MSK 2022","Thu Aug 11 00:23:54 MSK 2022","21286","","","","","","Документ.ВнутреннееПотреблениеТоваров.Форма.ФормаДокумента.Форма. Отсутствует обработчик","Отсутствует обработчик: toledo_ТочкаДоставки1 ""toledo_ТочкаДоставкиПриИзменении"""
"failed","Wed Aug 10 21:28:17 MSK 2022","Wed Aug 10 21:28:38 MSK 2022","21286","","","","","","Справочник.toledo_Георайоны.Форма.ФормаЭлемента.Форма. Отсутствует обработчик","Отсутствует обработчик: СрокДоставкиМТП.Расширение ""СрокДоставкиМТПИзменениеТекстаРедактирования"""
